Seed,Feature_Type,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_sae_input_sae_acts_and_error_k25,Cosine_Sim_sae_input_sae_acts_and_error_k50,Cosine_Sim_sae_input_sae_acts_and_error_k150,Cosine_Sim_sae_input_sae_acts_and_error_k300,Cosine_Sim_sae_diff_sae_acts_and_error_k25,Cosine_Sim_sae_diff_sae_acts_and_error_k50,Cosine_Sim_sae_diff_sae_acts_and_error_k150,Cosine_Sim_sae_diff_sae_acts_and_error_k300,Top_k_Indices,k_value,Cosine_Sim_Input_sae_acts_and_error_k25,Cosine_Sim_Diff_sae_acts_and_error_k25,Cosine_Sim_Input_sae_acts_and_error_k50,Cosine_Sim_Diff_sae_acts_and_error_k50,Cosine_Sim_Input_sae_acts_and_error_k150,Cosine_Sim_Diff_sae_acts_and_error_k150,Cosine_Sim_Input_sae_acts_and_error_k300,Cosine_Sim_Diff_sae_acts_and_error_k300
0,sae_input,0.33514810395165295,0.86575,0.9421254160599126,0.551496194321928,0.735,0.8076207582269549,0.6401132345199585,0.7205884456634521,0.7485007643699646,0.7855079770088196,0.7864059209823608,,,,,,,,,,,,,,
0,sae_diff,0.34023447538568347,0.868,0.9437926561424846,0.5423684625838038,0.746,0.8080176727179421,0.6838446259498596,,,,,0.9565921425819397,0.9275577068328857,0.8756446242332458,0.8746888637542725,,,,,,,,,,
0,sae_acts_post,0.521166401157124,0.7355,0.8217038253508506,0.5602436270933339,0.729,0.7838820642760921,0.2028099000453949,,,,,,,,,,,,,,,,,,
0,sae_acts_and_error_k25,0.33570508829257945,0.86975,0.9444610023843434,0.5509345607152213,0.739,0.8049225415356982,0.6734393835067749,,,,,,,,,"[12583, 1191, 1135, 6256, 8409, 8035, 11841, 11187, 815, 12799, 8418, 6669, 4491, 2849, 1301, 11344, 3971, 10297, 15249, 10837, 7135, 12126, 6532, 15721, 4501]",25.0,0.7205884456634521,0.9565921425819397,,,,,,
0,sae_acts_and_error_k50,0.33622052627883575,0.86575,0.9436023787425389,0.5549090215332693,0.738,0.8031464494194624,0.665073812007904,,,,,,,,,"[12583, 1191, 1135, 6256, 8409, 8035, 11841, 11187, 815, 12799, 8418, 6669, 4491, 2849, 1301, 11344, 3971, 10297, 15249, 10837, 7135, 12126, 6532, 15721, 4501, 14305, 6936, 10302, 7161, 9672, 14348, 5060, 12328, 12330, 14767, 16182, 9326, 2086, 9496, 4425, 7029, 5181, 12013, 16164, 14418, 12919, 2077, 861, 354, 14065]",50.0,,,0.7485007643699646,0.9275577068328857,,,,
0,sae_acts_and_error_k150,0.3330622815352138,0.87175,0.9445222612056137,0.5487519939126575,0.741,0.8071075758547692,0.6608478426933289,,,,,,,,,"[12583, 1191, 1135, 6256, 8409, 8035, 11841, 11187, 815, 12799, 8418, 6669, 4491, 2849, 1301, 11344, 3971, 10297, 15249, 10837, 7135, 12126, 6532, 15721, 4501, 14305, 6936, 10302, 7161, 9672, 14348, 5060, 12328, 12330, 14767, 16182, 9326, 2086, 9496, 4425, 7029, 5181, 12013, 16164, 14418, 12919, 2077, 861, 354, 14065, 12386, 14593, 9252, 2915, 3141, 6347, 15816, 11471, 4581, 6007, 2993, 9085, 3019, 12955, 1778, 5369, 7886, 6837, 13169, 14553, 11009, 7659, 12073, 9290, 4302, 1842, 1655, 807, 12025, 107, 15521, 10066, 5846, 1775, 14087, 6093, 6607, 745, 12427, 6638, 12939, 4983, 8772, 956, 8699, 9787, 7733, 8317, 15569, 3484, 6124, 2644, 13226, 6110, 5742, 10169, 5055, 12061, 13019, 3723, 15098, 16016, 5209, 15864, 2784, 9848, 8697, 5406, 15906, 10153, 1995, 362, 6645, 15885, 5894, 8763, 5991, 2904, 12616, 127, 63, 128, 129, 31, 64, 130, 131, 65, 132, 133, 15, 32, 66, 134, 135, 67, 136, 137, 33, 68]",150.0,,,,,0.7855079770088196,0.8756446242332458,,
0,sae_acts_and_error_k300,0.3330255389586887,0.87175,0.9445442643740698,0.5487251074149201,0.74,0.8068910770415036,0.6605428457260132,,,,,,,,,"[12583, 1191, 1135, 6256, 8409, 8035, 11841, 11187, 815, 12799, 8418, 6669, 4491, 2849, 1301, 11344, 3971, 10297, 15249, 10837, 7135, 12126, 6532, 15721, 4501, 14305, 6936, 10302, 7161, 9672, 14348, 5060, 12328, 12330, 14767, 16182, 9326, 2086, 9496, 4425, 7029, 5181, 12013, 16164, 14418, 12919, 2077, 861, 354, 14065, 12386, 14593, 9252, 2915, 3141, 6347, 15816, 11471, 4581, 6007, 2993, 9085, 3019, 12955, 1778, 5369, 7886, 6837, 13169, 14553, 11009, 7659, 12073, 9290, 4302, 1842, 1655, 807, 12025, 107, 15521, 10066, 5846, 1775, 14087, 6093, 6607, 745, 12427, 6638, 12939, 4983, 8772, 956, 8699, 9787, 7733, 8317, 15569, 3484, 6124, 2644, 13226, 6110, 5742, 10169, 5055, 12061, 13019, 3723, 15098, 16016, 5209, 15864, 2784, 9848, 8697, 5406, 15906, 10153, 1995, 362, 6645, 15885, 5894, 8763, 5991, 2904, 12616, 10805, 10792, 10804, 10803, 10802, 10801, 10800, 10799, 10825, 10798, 10797, 10796, 10795, 10794, 10793, 10902, 10816, 10819, 10815, 10817, 10814, 10813, 10812, 10818, 10811, 10810, 10824, 10809, 10808, 10820, 10821, 10822, 10807, 10823, 10806, 10904, 10884, 10885, 10886, 10887, 10888, 10889, 10890, 10891, 10892, 10893, 10894, 10895, 10883, 10911, 10910, 10909, 10908, 10907, 10906, 10905, 10900, 10897, 10898, 10899, 10840, 10827, 10828, 10829, 10830, 10831, 10832, 10833, 10834, 10835, 10836, 10838, 10839, 10826, 10841, 10842, 10843, 10844, 10845, 10846, 10847, 10848, 10896, 10881, 10882, 10949, 10957, 10979, 10956, 10955, 10954, 10953, 10952, 10951, 10950, 10980, 10978, 10948, 10947, 10946, 10945, 10944, 10943, 10942, 10981, 10941, 10982, 10966, 10973, 10974, 10972, 10971, 10970, 10969, 10975, 10968, 10967, 10976, 10940, 10965, 10964, 10963, 10962, 10961, 10960, 10977, 10959, 10958, 10915, 10987, 10922, 10921, 10988, 10920, 10919, 10918, 10786, 10917, 10916, 10923, 10989, 10914, 10913, 10849, 10753, 10787, 10788, 10789, 10790, 10931, 10983, 10939, 10984, 10938, 10937, 10936, 10935, 10934, 10933, 10932, 10791, 10930, 10985, 10929, 10986, 10928, 10927, 10926, 10925, 10924, 10903]",300.0,,,,,,,0.7864059209823608,0.8746888637542725
1,sae_input,0.3320901129320709,0.86975,0.9433473527838938,0.5629597248473842,0.729,0.8034723250333107,0.6444036364555359,0.7026987671852112,0.7309756278991699,0.7776132225990295,0.779155433177948,,,,,,,,,,,,,,
1,sae_diff,0.3382170708564357,0.8695,0.943935364691135,0.5663855643872114,0.711,0.7930369439698463,0.6776143312454224,,,,,0.9567697644233704,0.9263073205947876,0.868017315864563,0.8657566905021667,,,,,,,,,,
1,sae_acts_post,0.5174385096815244,0.74475,0.8246249486552104,0.5801276885714395,0.701,0.7614307035479495,0.2047862857580185,,,,,,,,,,,,,,,,,,
