Seed,Feature_Type,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_sae_input_sae_acts_and_error_k25,Cosine_Sim_sae_input_sae_acts_and_error_k50,Cosine_Sim_sae_input_sae_acts_and_error_k150,Cosine_Sim_sae_input_sae_acts_and_error_k300,Cosine_Sim_sae_diff_sae_acts_and_error_k25,Cosine_Sim_sae_diff_sae_acts_and_error_k50,Cosine_Sim_sae_diff_sae_acts_and_error_k150,Cosine_Sim_sae_diff_sae_acts_and_error_k300,Top_k_Indices,k_value,Cosine_Sim_Input_sae_acts_and_error_k25,Cosine_Sim_Diff_sae_acts_and_error_k25,Cosine_Sim_Input_sae_acts_and_error_k50,Cosine_Sim_Diff_sae_acts_and_error_k50,Cosine_Sim_Input_sae_acts_and_error_k150,Cosine_Sim_Diff_sae_acts_and_error_k150,Cosine_Sim_Input_sae_acts_and_error_k300,Cosine_Sim_Diff_sae_acts_and_error_k300
1,sae_acts_and_error_k25,0.2832199648665308,0.935,0.9846912700384945,0.553804369232464,0.72,0.8023398860184279,0.5330877304077148,,,,,,,,,"[6836, 6105, 8098, 15974, 10297, 11620, 3351, 12854, 14122, 428, 14305, 15499, 11719, 1044, 7656, 11150, 11883, 13220, 10120, 54, 12232, 12051, 9753, 8136, 4146]",25.0,0.7063727378845215,0.9363325834274292,,,,,,
1,sae_acts_and_error_k50,0.2803856139945352,0.93375,0.9845756144982034,0.5594474387094048,0.735,0.7978961110692677,0.5294627547264099,,,,,,,,,"[6836, 6105, 8098, 15974, 10297, 11620, 3351, 12854, 14122, 428, 14305, 15499, 11719, 1044, 7656, 11150, 11883, 13220, 10120, 54, 12232, 12051, 9753, 8136, 4146, 13323, 3168, 14346, 15864, 5149, 4346, 9884, 9907, 7660, 1061, 3016, 7886, 432, 1515, 11172, 279, 12624, 5746, 7145, 5770, 12130, 10897, 643, 5906, 13618]",50.0,,,0.725117564201355,0.910698413848877,,,,
1,sae_acts_and_error_k150,0.27832432029891324,0.933125,0.9846521972208286,0.5594478328724644,0.725,0.7994275815319726,0.5274825096130371,,,,,,,,,"[6836, 6105, 8098, 15974, 10297, 11620, 3351, 12854, 14122, 428, 14305, 15499, 11719, 1044, 7656, 11150, 11883, 13220, 10120, 54, 12232, 12051, 9753, 8136, 4146, 13323, 3168, 14346, 15864, 5149, 4346, 9884, 9907, 7660, 1061, 3016, 7886, 432, 1515, 11172, 279, 12624, 5746, 7145, 5770, 12130, 10897, 643, 5906, 13618, 3345, 15446, 4261, 12010, 10130, 1098, 11624, 9871, 14327, 7285, 4384, 11949, 6768, 6498, 7895, 15245, 5752, 5167, 588, 2258, 15130, 8760, 5825, 11077, 13866, 4845, 8970, 1314, 3019, 400, 128, 64, 130, 132, 32, 66, 134, 136, 68, 138, 140, 16, 34, 70, 142, 144, 72, 146, 148, 36, 74, 149, 75, 37, 76, 77, 3, 8, 18, 38, 78, 79, 39, 80, 81, 19, 40, 82, 83, 41, 84, 127, 63, 129, 31, 131, 65, 133, 15, 135, 67, 137, 33, 139, 69, 141, 7, 143, 71, 145, 35, 147, 73, 17, 85, 9, 20, 42, 86, 87]",150.0,,,,,0.7476455569267273,0.8856576085090637,,
1,sae_acts_and_error_k300,0.2783829609117221,0.929375,0.9845974952760964,0.5604435431508754,0.7225,0.7988752479224726,0.527463436126709,,,,,,,,,"[6836, 6105, 8098, 15974, 10297, 11620, 3351, 12854, 14122, 428, 14305, 15499, 11719, 1044, 7656, 11150, 11883, 13220, 10120, 54, 12232, 12051, 9753, 8136, 4146, 13323, 3168, 14346, 15864, 5149, 4346, 9884, 9907, 7660, 1061, 3016, 7886, 432, 1515, 11172, 279, 12624, 5746, 7145, 5770, 12130, 10897, 643, 5906, 13618, 3345, 15446, 4261, 12010, 10130, 1098, 11624, 9871, 14327, 7285, 4384, 11949, 6768, 6498, 7895, 15245, 5752, 5167, 588, 2258, 15130, 8760, 5825, 11077, 13866, 4845, 8970, 1314, 3019, 400, 10987, 10925, 10986, 10927, 10928, 10919, 10918, 10926, 10920, 10922, 10921, 10924, 10910, 10923, 10907, 10975, 10899, 10900, 10992, 10901, 10902, 10991, 10903, 10904, 10990, 10905, 10906, 10917, 10989, 10908, 10909, 10988, 10775, 10911, 10912, 10913, 10914, 10915, 10916, 10965, 10951, 10952, 10953, 10954, 10955, 10956, 10957, 10958, 10959, 10960, 10961, 10962, 10963, 10964, 10980, 10979, 10966, 10967, 10978, 10968, 10977, 10969, 10970, 10971, 10976, 10972, 10973, 10974, 10940, 10985, 10930, 10931, 10932, 10933, 10934, 10935, 10984, 10936, 10937, 10938, 10983, 10939, 10929, 10941, 10942, 10982, 10943, 10944, 10981, 10945, 10946, 10947, 10993, 10948, 10949, 10950, 10821, 10806, 10807, 10808, 10809, 10810, 10811, 10812, 10813, 10814, 10815, 10816, 10817, 10818, 10819, 10820, 10805, 10822, 10823, 10824, 10825, 10826, 10827, 10828, 10829, 10830, 10831, 10832, 10833, 10834, 10835, 10790, 10754, 10776, 10777, 10778, 10779, 10780, 10781, 10782, 10783, 10784, 10785, 10786, 10787, 10788, 10789, 10836, 10791, 10792, 10793, 10794, 10795, 10796, 10797, 10798, 10799, 10800, 10801, 10802, 10803, 10804, 10882, 10867, 10868, 10869, 10870, 10871, 10872, 10873, 10874, 10875, 10876, 10877, 10878, 10879, 10880, 10881, 10866, 10883, 10884, 10885, 10886, 10887, 10888, 10889, 10890, 10891, 10892, 10893, 10894, 10895, 10896, 10851, 10837, 10838, 10839, 10840, 10841, 10842, 10843, 10844, 10845, 10846, 10847, 10848, 10849, 10850, 10898, 10852, 10853, 10854, 10855, 10856, 10857, 10858, 10859, 10860, 10861, 10862, 10863, 10864, 10865, 11165]",300.0,,,,,,,0.747028112411499,0.8825907707214355
2,sae_input,0.26490885254309104,0.92375,0.9824646386359233,0.548360714259846,0.7425,0.8109048143328995,0.5093648433685303,0.6900253295898438,0.7115251421928406,0.7350063323974609,0.7383235692977905,,,,,,,,,,,,,,
2,sae_diff,0.2938294846053669,0.928125,0.9835740760417773,0.5600359574862894,0.7325,0.7929386447803024,0.5455043315887451,,,,,0.9425854086875916,0.918286919593811,0.8904120922088623,0.8866240978240967,,,,,,,,,,
2,sae_acts_post,0.5629116403564081,0.72125,0.7926336481427081,0.5935141224129681,0.6725,0.7422930637573817,0.1381951868534088,,,,,,,,,,,,,,,,,,
2,sae_acts_and_error_k25,0.2827390189423882,0.931875,0.9841819227331537,0.5514935183879133,0.7275,0.8049994995495946,0.533257246017456,,,,,,,,,"[6836, 8098, 6105, 14122, 15499, 15974, 7656, 12854, 15130, 14305, 11150, 12051, 13395, 54, 1044, 11083, 5906, 5350, 11620, 428, 1061, 3168, 14327, 10297, 3351]",25.0,0.6900253295898438,0.9425854086875916,,,,,,
2,sae_acts_and_error_k50,0.281618439645756,0.933125,0.9833803151427267,0.5403683813301349,0.735,0.8115053548193374,0.529290497303009,,,,,,,,,"[6836, 8098, 6105, 14122, 15499, 15974, 7656, 12854, 15130, 14305, 11150, 12051, 13395, 54, 1044, 11083, 5906, 5350, 11620, 428, 1061, 3168, 14327, 10297, 3351, 5149, 1098, 4261, 11883, 5770, 12624, 14346, 8342, 5331, 3174, 9907, 6498, 8760, 10120, 1515, 2299, 279, 4346, 9884, 90, 9210, 1721, 11172, 9753, 13220]",50.0,,,0.7115251421928406,0.918286919593811,,,,
2,sae_acts_and_error_k150,0.2751188928238649,0.93125,0.9842553643642454,0.5483433745562197,0.7275,0.8080272245020519,0.5271262526512146,,,,,,,,,"[6836, 8098, 6105, 14122, 15499, 15974, 7656, 12854, 15130, 14305, 11150, 12051, 13395, 54, 1044, 11083, 5906, 5350, 11620, 428, 1061, 3168, 14327, 10297, 3351, 5149, 1098, 4261, 11883, 5770, 12624, 14346, 8342, 5331, 3174, 9907, 6498, 8760, 10120, 1515, 2299, 279, 4346, 9884, 90, 9210, 1721, 11172, 9753, 13220, 6365, 13323, 11077, 1314, 3016, 9843, 15864, 7738, 12130, 13656, 7285, 13618, 7660, 27, 11624, 14460, 3345, 2371, 2, 2737, 4579, 3991, 4642, 432, 4146, 643, 400, 7769, 6720, 5167, 8834, 15446, 6768, 1067, 12025, 10130, 8034, 10897, 128, 64, 130, 132, 32, 66, 134, 136, 68, 138, 140, 16, 34, 70, 142, 144, 72, 146, 148, 36, 74, 149, 75, 37, 76, 77, 3, 8, 18, 38, 78, 79, 127, 63, 129, 31, 131, 65, 133, 15, 135, 67, 137, 33, 139, 69, 141, 7, 143, 71, 145, 35, 147, 73, 17, 39, 80, 81, 19, 40, 82, 83]",150.0,,,,,0.7350063323974609,0.8904120922088623,,
