Seed,Feature_Type,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Error,Cosine_Sim_Input_Combined,Cosine_Sim_Error_Combined,Top_k_Indices
4,sae_acts_and_error,0.020555580160789195,0.999375,0.9999992187487793,1.19828038299797,0.6925,0.7601690042251057,3.0826871395111084,0.6045740842819214,0.6578577160835266,0.9180079698562622,"[8098, 6836, 15974, 14305, 6105, 15499, 12854, 11719, 14122, 11620, 7656, 13395, 3351, 1044, 11150, 10297, 1721, 5331, 4146, 10120, 14327, 14346, 13618, 11883, 54, 7660, 8136, 1515, 9753, 12051, 15130, 9907, 13220, 5350, 14460, 8760, 5906, 428, 11083, 11172, 1098, 9884, 5149, 3168, 4346, 7145, 12130, 15295, 13323, 9210, 15864, 2, 2258, 3345, 5770, 3016, 4261, 1314, 279, 643, 745, 11077, 5329, 12624, 6050, 10897, 6365, 400, 2965, 5167, 7285, 6720, 13310, 2299, 13656, 12149, 14009, 4384, 12232, 1910, 6617, 6768, 7769, 63, 31, 64, 65, 15, 32, 66, 67, 33, 68, 69, 7, 16, 34, 70, 71, 35, 72, 73, 17, 36, 74, 75, 37, 76, 77, 3, 8, 18, 38, 78, 79, 39, 80, 81, 19, 40]"
5,sae_input,0.022149813962516928,0.999375,0.9999992187060522,1.3049519866673256,0.7325,0.7730457411670504,3.10725998878479,0.6112774014472961,0.6679025888442993,0.9045988917350769,
5,sae_diff,0.022663919775970442,0.999375,0.9999992187060521,1.1627668688902515,0.6725,0.761610449404464,3.2377288341522217,0.6112774014472961,0.6679025888442993,0.9045988917350769,
5,sae_acts_post,0.5562484588628724,0.719375,0.8012521016807195,0.608034904486042,0.62,0.7106395756180562,0.13527993857860565,,,,
5,sae_acts_and_error,0.021329956001180702,0.999375,0.9999992187060522,1.160517666010504,0.7,0.7800770693624263,3.141087532043457,0.6112774014472961,0.6679025888442993,0.9045988917350769,"[6836, 15974, 6105, 14122, 1044, 8098, 7656, 10297, 12854, 14305, 3351, 5906, 11620, 15499, 11883, 54, 4146, 428, 3174, 1098, 11719, 10120, 11150, 13618, 14346, 12130, 1721, 15130, 12232, 8496, 12398, 3539, 12051, 11083, 14327, 4261, 15864, 4346, 1314, 14073, 9907, 5331, 10897, 3266, 11172, 5167, 432, 5149, 7660, 6498, 12624, 8760, 2450, 279, 10957, 7738, 1061, 5752, 3345, 6039, 12010, 7895, 15446, 5350, 5770, 7145, 9884, 2294, 6031, 7886, 588, 2, 4579, 1515, 10130, 5746, 13866, 8342, 3168, 745, 3991, 7955, 1853, 2299, 5157, 16118, 13395, 3195, 1520, 7769, 14009, 6720, 63, 31, 64, 65, 15, 32, 66, 67, 33, 68, 69, 7, 16, 34, 70, 71, 35, 72, 73, 17, 36, 74, 75, 37, 76, 77, 3, 8]"
6,sae_input,0.022097627519677063,0.999375,0.9999992186901809,1.5280046268681415,0.7125,0.7628595028910415,3.0980305671691895,0.5893985033035278,0.646411657333374,0.9074366688728333,
6,sae_diff,0.022450689260387402,0.999375,0.9999992186901809,1.2537920958476902,0.71,0.7646617105954794,3.2270636558532715,0.5893985033035278,0.646411657333374,0.9074366688728333,
6,sae_acts_post,0.5569617238355036,0.721875,0.7978431161135775,0.619005189876321,0.635,0.7088933944081499,0.13808631896972656,,,,
6,sae_acts_and_error,0.020976332250302713,0.999375,0.9999992186901809,1.3424644705513658,0.7075,0.7598808540462065,3.121138095855713,0.5893985033035278,0.646411657333374,0.9074366688728333,"[6836, 10297, 6105, 14122, 15974, 7656, 12854, 54, 13395, 1721, 15499, 14305, 3351, 11620, 1044, 1061, 8098, 11883, 279, 10120, 12130, 11150, 15130, 3174, 1098, 14327, 3168, 15864, 3539, 12624, 5906, 428, 8342, 9907, 4346, 4261, 5149, 7886, 7895, 2299, 4146, 9753, 400, 9848, 2450, 643, 14460, 11172, 5157, 3345, 10431, 1314, 3016, 1515, 745, 13323, 7510, 4384, 15446, 11984, 14346, 2371, 7660, 26, 588, 12051, 10897, 1181, 13220, 4986, 5331, 11624, 12925, 14708, 9843, 3019, 16118, 8760, 7285, 13656, 6500, 5167, 4845, 1793, 8632, 6768, 14159, 10130, 63, 31, 64, 65, 15, 32, 66, 67, 33, 68, 69, 7, 16, 34, 70, 71, 35, 72, 73, 17, 36, 74, 75, 37, 76, 77, 3, 8, 18, 38, 78, 79]"
7,sae_input,0.022482669228980193,0.999375,0.9999992187194813,1.2421718846904597,0.7375,0.7875422138836773,3.134737968444824,0.5968479514122009,0.6471138000488281,0.9185230731964111,
